,NAME,S1901_C04_012E
834,ZCTA5 03264,39408
835,ZCTA5 03266,35893
836,ZCTA5 03268,43750
837,ZCTA5 03269,-
838,ZCTA5 03273,-
839,ZCTA5 03275,38344
840,ZCTA5 03276,42462
841,ZCTA5 03278,27875
842,ZCTA5 03279,37054
843,ZCTA5 03280,39844
844,ZCTA5 03281,44932
845,ZCTA5 03282,54250
846,ZCTA5 03284,34063
847,ZCTA5 03285,62552
848,ZCTA5 03287,48021
849,ZCTA5 03290,61571
850,ZCTA5 03291,-
851,ZCTA5 03293,-
852,ZCTA5 03301,40635
853,ZCTA5 03303,47702
854,ZCTA5 03304,68558
855,ZCTA5 03307,33977
856,ZCTA5 03431,37530
857,ZCTA5 03440,53958
858,ZCTA5 03441,33906
859,ZCTA5 03442,49940
860,ZCTA5 03443,38603
861,ZCTA5 03444,46417
862,ZCTA5 03445,45417
863,ZCTA5 03446,35357
864,ZCTA5 03447,47656
865,ZCTA5 03448,45417
866,ZCTA5 03449,49167
867,ZCTA5 03450,57679
868,ZCTA5 03451,54904
869,ZCTA5 03452,49250
870,ZCTA5 03455,34044
871,ZCTA5 03456,41875
872,ZCTA5 03457,72708
873,ZCTA5 03458,62684
874,ZCTA5 03461,51083
875,ZCTA5 03462,33984
876,ZCTA5 03464,35000
877,ZCTA5 03465,28125
878,ZCTA5 03466,-
879,ZCTA5 03467,32292
880,ZCTA5 03470,43415
881,ZCTA5 03561,36526
882,ZCTA5 03570,22432
883,ZCTA5 03574,28971
884,ZCTA5 03575,-
885,ZCTA5 03576,36610
886,ZCTA5 03579,28750
887,ZCTA5 03580,44318
888,ZCTA5 03581,40870
889,ZCTA5 03582,30313
890,ZCTA5 03583,57593
891,ZCTA5 03584,44100
892,ZCTA5 03585,40476
893,ZCTA5 03586,42708
894,ZCTA5 03588,44844
895,ZCTA5 03590,25682
896,ZCTA5 03592,35938
897,ZCTA5 03593,56719
898,ZCTA5 03595,46288
899,ZCTA5 03597,21458
900,ZCTA5 03598,35833
901,ZCTA5 03601,36719
902,ZCTA5 03602,28750
903,ZCTA5 03603,26136
904,ZCTA5 03604,-
905,ZCTA5 03605,38500
906,ZCTA5 03607,51250
907,ZCTA5 03608,32857
908,ZCTA5 03609,-
909,ZCTA5 03740,33438
910,ZCTA5 03741,48750
911,ZCTA5 03743,34125
912,ZCTA5 03745,63947
913,ZCTA5 03748,61653
914,ZCTA5 03750,-
915,ZCTA5 03751,-
916,ZCTA5 03752,37500
917,ZCTA5 03753,90203
918,ZCTA5 03755,58906
919,ZCTA5 03765,-
920,ZCTA5 03766,65549
921,ZCTA5 03768,68958
922,ZCTA5 03770,-
923,ZCTA5 03771,25000
924,ZCTA5 03773,47946
925,ZCTA5 03774,26193
926,ZCTA5 03777,64167
927,ZCTA5 03779,39688
928,ZCTA5 03780,78660
929,ZCTA5 03781,61333
930,ZCTA5 03782,67667
931,ZCTA5 03784,31667
932,ZCTA5 03785,28750
